
Question	Correct Answer	Option 1	Option 2	Difficulty
Co znamená označení „černá smrt“, které zasáhlo Evropu ve 14. století?	Pandemii moru (morovou epidemii).	Dlouhotrvající hladomor.	Období stoleté války.	1
Po které obchodní cestě se ve 14. století dostal mor do Evropy?	Po hedvábné stezce z Asie.	Po poutních stezkách do Svaté země.	Po Vikingy zmapované severní mořské cestě.	2
Jak velkou část populace mohla „černá smrt“ připravit o život?	Až desítky procent obyvatel.	Nanejvýš jedno procento obyvatel.	Téměř sto procent obyvatel.	1
Kdo byl často nespravedlivě obviňován ze způsobení morové epidemie a pronásledován?	Židé v evropských městech.	Lékaři a ranhojiči.	Kočky a jiná domácí zvířata.	2
Kdo jako jediný významně ochránil Židy před pogromy během morové epidemie v polovině 14. století?	Papež Klement VI. v Avignonu.	Císař Karel IV. v Praze.	Anglický král Eduard III. v Londýně.	3
Co znamená latinské úsloví „Memento mori“, populární na konci středověku?	Pamatuj na smrt (na to, že zemřeš).	Pomsti smrt blízkých.	Raduj se z každého dne.	1
Co zobrazovala středověká umělecká tématika zvaná „Danse Macabre“ (Tanec smrti)?	Tanec smrti – kostlivci tančící s živými, symbolizující rovnost všech před smrtí.	Dvorský tanec oslavující vítězství nad morem.	Rituální tanec rytířů před bitvou.	2
Kdo byli středověcí flagelanti a co praktikovali?	Náboženští fanatici, kteří se veřejně bičovali na znamení pokání.	Obávaní žoldnéři, loupící venkov během válek.	Zakázaná sekta alchymistů provádějící temné rituály.	2
Co znamená výraz „kacíř“ v kontextu středověké církve?	Osobu označenou církví za heretika – člověka odchýleného od oficiální víry.	Muslimského protivníka křesťanů.	Příslušníka nižšího kléru.	1
Jaké extrémní chování se v době krizí 14. století projevovalo ve vztahu k náboženství?	Sebebičování zbožných průvodů a hledání obětních viníků (flagelanti a pogromy).	Masové vystupování z církve a vznik ateistických obcí.	Odmítání jakýchkoli modliteb a zavírání kostelů.	3
Čím byla významná bitva u Kresčaku (Crécy) roku 1346?	Nasazením anglických lučištníků, kteří pobili mnoho francouzských rytířů.	Prvním nasazením střelných palných zbraní v Evropě.	Uzavřením míru mezi Francií a Anglií na 100 let.	2
Který český král padl na francouzské straně v bitvě u Kresčaku?	Jan Lucemburský.	Karel IV.	Václav IV.	1
Proč francouzští rytíři u Kresčaku neuspěli proti anglickým lučištníkům?	Byli špatně organizovaní a unavení, zatímco šípy dlouhých luků pronikaly jejich zbrojí.	Zradila je těžká jízda, která přeběhla na stranu Angličanů.	Angličané měli mnohem početnější armádu rytířů.	3
Kolik rytířů přibližně padlo ve srovnání obou stran u Kresčaku?	Na francouzské straně přes tisíc rytířů, na anglické jen několik set.	Naopak – Francouzi ztratili jen desítky rytířů, Angličané tisíce.	Obě strany ztratily zhruba stejně po pětistech rytířů.	2
Kdo byla Johanka z Arku?	Francouzská dívka, která ve stoleté válce vedla vojsko a pomohla porazit Angličany.	Česká šlechtična bojující po boku husitů.	Anglická královna, která rozpoutala sto let trvající válku.	1
Jak Johanka z Arku skončila svůj život?	Byla zajata, církevním soudem prohlášena za kacířku a roku 1431 upálena.	Padla v bitvě u Orléansu.	Byla provdána do anglické královské rodiny.	1
Za co byla Johanka z Arku odsouzena Angličany?	Za čarodějnictví, kacířství a údajné lživé prorokování.	Za velezradu francouzského krále.	Za krádež relikvií a vraždu velitele.	2
Ve kterém století žila Johanka z Arku a se kterou válkou je spojena?	V 15. století, v období stoleté války Francie s Anglií.	Ve 13. století, během křížových výprav.	V 17. století, za třicetileté války.	1
Proč se názory na Johanku z Arku liší (svatice, hrdinka, pomatená)?	Historické postavy mohou symbolizovat různé hodnoty – pro církev je světice, pro Francouze národní hrdinka, ale skeptici ji mohou považovat za duševně nemocnou.	Ve skutečnosti jde o tři různé ženy se stejným jménem.	Dodnes nejsou žádné historické důkazy, že Johanka opravdu žila.	3
Kdy byla Johanka z Arku prohlášena za svatou a kým?	V roce 1920 římskokatolickou církví (papežem).	Ihned po své smrti katolickou církví.	Během Francouzské revoluce francouzským národním shromážděním.	2
Který panovník z rodu Lucemburků je nazýván „Otec vlasti“ a proč?	Karel IV., protože patřil k nejvýznamnějším českým králům a velmi pozvedl České království.	Václav IV., protože byl nejzbožnějším a lid ho miloval.	Zikmund Lucemburský, protože porazil husity.	1
Uveďte jeden konkrétní úspěch Karla IV., který přispěl k jeho výjimečnosti.	Založení Karlovy univerzity v Praze (1348) jako první ve střední Evropě.	Vyhrál bitvu u Moháče a zastavil Turky.	Objevil námořní cestu do Indie.	1
Co nechal zhotovit Karel IV., aby pozvedl prestiž českých králů?	Korunovační klenoty – Svatováclavskou korunu českých králů.	Zlatý relikviář s trnem z Kristovy koruny.	Největší dělo té doby zvané Karel.	2
Čím mohl být Karel IV. zpětně kritizován z dnešního pohledu?	Například tím, že toleroval pogrom na Židy v Norimberku kvůli zabavení jejich majetku.	Že nebyl dost zbožný a v zemi potlačoval katolickou církev.	Že odmítal zakládat města a školy, čímž brzdil rozvoj.	3
Čím se lišil Václav IV. od svého otce Karla IV. ve stylu vlády?	Byl méně schopný a nerozhodný, více se věnoval zábavám než státnickým povinnostem.	Byl podstatně vzdělanější a přísně asketický vládce.	Vynikal vojensky a rozšiřoval říši více než Karel IV.	2
Proč je král Václav IV. historiky hodnocen spíše negativně?	Jeho vládě chyběla pevná ruka – za jeho vlády došlo k rozvratu poměrů a neřešení církevních sporů přispělo k husitské krizi.	Václav IV. prohrál sto let trvající válku s Anglií.	Byl to krutý tyran, který vyvraždil většinu šlechty.	2
Která mimořádná událost v katolické církvi komplikovala vládu Václava IV.?	Papežské schizma – existence dvou a posléze tří papežů zároveň.	Reformace Martina Luthera.	Zrušení jezuitského řádu.	3
Jak reagoval Václav IV. na vystoupení Mistra Jana Husa?	Váhavě a nejednoznačně – oficiálně Husa nebránil ani nepotlačil, spíše vyčkával.	Okamžitě Husa podpořil a stal se stoupencem jeho učení.	Osobně vedl vojsko proti Husovým stoupencům už za svého života.	2
